ZIP File,Permissions,File System,Network,Rendering,User Interaction
pmlkkhcpimkhgalapkfpiknklhalkoeo_2.4.6.zip,"[""storage"", ""tabs"", ""cookies""]","{""localStorage.setItem"": 8, ""localStorage.getItem"": 8, ""new Blob"": 3}","{""fetch"": 432, ""new XMLHttpRequest"": 4, ""new WebSocket"": 3}","{""setTimeout"": 109, ""document.createElement"": 46, ""setInterval"": 17, ""new MutationObserver"": 10, ""document.getElementById"": 8, ""chrome.tabs.create"": 7, ""document.querySelector"": 2, ""window.open"": 1}","{""addEventListener"": 238, ""window.confirm"": 1}"
hiachodlaodnpdbbdinhgigjbgofoccn_1.1.zip,[],{},{},"{""document.getElementById"": 1, ""setInterval"": 1}",{}
akeadojihdolfamephnbahcoikamnbbc_1.0.2.zip,"[""storage"", ""activeTab""]",{},{},"{""document.getElementById"": 29, ""document.createElement"": 7, ""setTimeout"": 6, ""new MutationObserver"": 3, ""document.querySelector"": 2}","{""addEventListener"": 19}"
odbamphgeaclhonbmioddnnhmklmmhlm_1.2.2.2.zip,"[""tabs"", ""storage"", ""contextMenus"", ""identity"", ""identity.email"", ""http://*/"", ""https://*/"", ""https://weblynote.com/*"", ""https://apis.google.com/*"", ""https://accounts.google.com/o/oauth2/token"", ""<all_urls>""]",{},"{""fetch"": 4, ""chrome.identity.getAuthToken"": 3}","{""chrome.tabs.executeScript"": 35, ""document.createElement"": 24, ""setTimeout"": 19, ""document.querySelector"": 3, ""setInterval"": 2, ""document.getElementById"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 23, ""chrome.contextMenus.create"": 21}"
piijpckomllehokkglcgcaijgnjcmnhe_0.3.3.zip,"[""scripting"", ""activeTab""]",{},"{""fetch"": 7}","{""setTimeout"": 42, ""document.createElement"": 40, ""document.querySelector"": 13, ""new MutationObserver"": 10, ""chrome.tabs.create"": 6, ""document.getElementById"": 5, ""setInterval"": 1}","{""addEventListener"": 36}"
cjfgpeakgpojmkogpkhpnkkneffcoobh_0.0.3.zip,"[""activeTab"", ""contextMenus"", ""tabs""]","{""new Blob"": 1}",{},"{""document.createElement"": 8, ""document.getElementById"": 4, ""document.querySelector"": 3, ""window.open"": 3, ""setTimeout"": 2, ""new MutationObserver"": 1}","{""addEventListener"": 9, ""chrome.contextMenus.create"": 1, ""chrome.tabs.onActivated.addListener"": 1}"
kohbfdmndnnmnlofjehfickkdflbejap_1.0.zip,"[""storage""]",{},{},"{""document.getElementById"": 3, ""document.querySelector"": 1}","{""addEventListener"": 3}"
pajfapifabbhblnbhghheompjenkoamk_1.0.9.zip,"[""storage"", ""scripting""]","{""new Blob"": 1}","{""new XMLHttpRequest"": 1}","{""document.createElement"": 14, ""document.getElementById"": 10, ""setTimeout"": 8, ""document.querySelector"": 5, ""chrome.tabs.create"": 1, ""setInterval"": 1}","{""addEventListener"": 17, ""document.onmousemove"": 2}"
ffihmlmapfkaajcaiicodpilmlfmiiok_1.0.zip,"[""activeTab""]",{},"{""fetch"": 8}","{""document.getElementById"": 2, ""setInterval"": 1}",{}
aofjdoookipghbpaglhfpgjiebdiekio_1.1.0.zip,"[""storage"", ""sidePanel"", ""contextMenus"", ""activeTab""]","{""indexedDB.open"": 3}","{""fetch"": 58, ""new XMLHttpRequest"": 20, ""new WebSocket"": 2}","{""setTimeout"": 14, ""document.getElementById"": 3, ""document.querySelector"": 2, ""document.createElement"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 22, ""window.prompt"": 8, ""chrome.contextMenus.create"": 1}"
