Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/efefmblkhfibknkkhllennfdkfnnmjek_0.0.0.2.zip,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/hgdmohbmgiomicklkoajaoeokefefcdh_1.2.2.zip,"webRequest, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/eicdhpjniopddhnmecdjbalndbfiebho_2.0.9.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mekdnhknkdfiifogdijpnlakjhlodcek_5.1.0.zip,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/entertainment/biajbiiinplkgfejipbagnfmbianbfkd_1.0.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/entertainment/akfjfgpfiajhinoedokpkpdenebjpjjl_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/cghddeepbicpheabhfdbkhpgcphdkblk_1.0.zip,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hdadofjbdnckpfbmddfkgpnpchcfbpki_1.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hdacefdjjccgpfcindjjkjpfhgpoeimk_1.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/heghocibkddmhjjobbbfhdmmnmjeihoo_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/other/lchoonggogpfkclhgdllnfocmjdbkaca_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ionacijjlndncdccgdpnlbcjajicgklc_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hidnoblbdkccppkplbeenibfihfilkik_4.0.zip,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/chdiocfkdadffpdomkbogkaaojggclcf_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/iaemdnjdgaidchbjanmemffakkooadha_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/eacdlhdafbpmjohojacamlbhiogcpcbd_1.6.9.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/bbhoffkklegabhikdonfnmikegimcgoo_0.0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fdoabojpkjopijhpfhapkddbafljjfff_1.0.2.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/jljabmicdahokhbbnfmnaindamcfohcm_0.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/aeepebmcdnjkjobnhfagojgfonkappej_5.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/oponnjpnbhdmohlkonljdfhbeibljfoa_1.1.21.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/ediflhgcaolkgmfjnhjdkdncidfpobge_0.0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/games/hphpneacjlhalamdpheedpfejhmoodcg_1.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/dhoepjbkapadpemjjneeefkgifcgfbpj_2.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/mflgijpbakfaofdbfikeokooodeepmel_0.3.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/phlpinelnbceflebcdaineniidcecgcb_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/mokfonabcmhhnohneodilbggkkckipkl_1.0.zip,tabs
