Extension Path,Extension ID,Extension Name,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/eplbdepeknnmfphebjlgnhijimcaiffk_1.1.zip,eplbdepeknnmfphebjlgnhijimcaiffk,"Airbnb Power Finder: Hidden Amenities, Dark Mode & Listing Insights",tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/dfckchceomnbpfnehijdneobbfkmnafg_1.2.zip,dfckchceomnbpfnehijdneobbfkmnafg,Hiva Highlighter,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/ndnbpbolkacjjcjhmgfoleilolocmnhg_1.1.0.zip,ndnbpbolkacjjcjhmgfoleilolocmnhg,CodingKaro,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/gaplajbgemfaknneedanchfgaocdenhk_1.0.zip,gaplajbgemfaknneedanchfgaocdenhk,ASN- Writing Center Copy Extension,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/epaaodcghkihihignoagkngagbnenlem_1.1.0.zip,epaaodcghkihihignoagkngagbnenlem,AWS Account Label,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/oaejldhnfhcaldfpennnohdkogamemdk_1.0.1.zip,oaejldhnfhcaldfpennnohdkogamemdk,DSFulfill Aliexpress Product Importer,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/iajpenjgdicpeeoemaeeeefolahoblgg_3.2.zip,iajpenjgdicpeeoemaeeeefolahoblgg,Globo Sem Besteirol,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/jppjhapkichoejeceiadkbpjffbblppg_1.0.zip,jppjhapkichoejeceiadkbpjffbblppg,X Engagement Hider,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/jmofbpiblkickckhhfbniclkodhiomjn_1.0.zip,jmofbpiblkickckhhfbniclkodhiomjn,PoE2Skills Helper,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/iajafhoaenbbggpaicppbgaadgdgjcgd_1.0.0.zip,iajafhoaenbbggpaicppbgaadgdgjcgd,LEO Bookmarks Helper Tools Plugins,"history, bookmarks"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/cmimekokohcpcilgeelcenpcaihinkoa_1.0.2.zip,cmimekokohcpcilgeelcenpcaihinkoa,ö¢ìÚá¶«Á«§«Ã««_,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/abohkhpiikhciflhojmdnongnageicem_1.0.zip,abohkhpiikhciflhojmdnongnageicem,Simple QR Code Generator,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/ijlcoehenbpgjeepmgnlccidiioiiack_1.2.zip,ijlcoehenbpgjeepmgnlccidiioiiack,uniqtab,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/gcdgnmpmbngdkpbgimbmhdpeneghbnoo_1.3.zip,gcdgnmpmbngdkpbgimbmhdpeneghbnoo,Cringe Music downloader,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jlgkpaicikihijadgifklkbpdajbkhjo_6.1.5.zip,jlgkpaicikihijadgifklkbpdajbkhjo,CrxMouse: Mouse Gestures,"clipboardRead, webRequest, clipboardWrite, tabs, bookmarks"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/oeanmebfgjdgmelhfphfcfodfinfiaho_1.0.5.zip,oeanmebfgjdgmelhfphfcfodfinfiaho,Amazon FBA Calculator : SellerSimple,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/fdhbandaekkdmkfikibanmebnkabdlcg_1.0.7.zip,fdhbandaekkdmkfikibanmebnkabdlcg,ToS about,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/hiagdmggfdceojcpbnjeelkcmmmbjdkp_3.0.zip,hiagdmggfdceojcpbnjeelkcmmmbjdkp,__ª·ªéªÙªâªÎª¯ªó,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/akjgeilpciajekhdkkomclnkmbapmfld_3.3.0.1000.zip,akjgeilpciajekhdkkomclnkmbapmfld,Win Bird â£åöò¨êµ «³«ó«È«í_«é,"bookmarks, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jnhbbkmdjdehejoajlcjhcdlofkchcbj_1.0.4.zip,jnhbbkmdjdehejoajlcjhcdlofkchcbj,Mine Control,"webRequest, tabs, webRequestBlocking"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/cbegkpikakpajcaoblfkeindhhikpfmd_0.4.zip,cbegkpikakpajcaoblfkeindhhikpfmd,Gotify Push,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/gnonenpkkhngjcpilegkmajnjicpjmpd_0.9.11.zip,gnonenpkkhngjcpilegkmajnjicpjmpd,Hintsay,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ddhailnbodajnflekpkmkpglocmendfp_2.2.zip,ddhailnbodajnflekpkmkpglocmendfp,ClassCard Auto,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/pomlcckbphmgddbhchkpehnfkegaenke_0.2.zip,pomlcckbphmgddbhchkpehnfkegaenke,Downloads Button,tabs
