ZIP File,Permissions (manifest),Over Permissions,WASM Exist,Clipboard,Downloads,Storage,Tabs,Scripting,Identity,WebRequest,Bookmarks,History,Alarms,Notifications,Context Menus,File System,Network,Rendering,User Interaction,Unknown
baleiojnjpgeojohhhfbichcodgljmnj_2.25.0.19320.zip,"[""<all_urls>"", ""management"", ""scripting"", ""alarms"", ""storage"", ""nativeMessaging"", ""tabs"", ""webRequest"", ""webNavigation"", ""activeTab""]",[],X,{},{},"{""chrome.storage.sync.get"": 1, ""chrome.storage.sync.set"": 1}","{""chrome.tabs.query"": 4, ""chrome.tabs.update"": 4, ""chrome.tabs.remove"": 4, ""chrome.tabs.create"": 3, ""chrome.tabs.get"": 2, ""chrome.tabs.captureVisibleTab"": 2, ""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.onActivated.addListener"": 1}","{""chrome.scripting.executeScript"": 2}",{},"{""chrome.webRequest.onBeforeRequest"": 1}",{},{},"{""chrome.alarms.create"": 1, ""chrome.alarms.get"": 1, ""chrome.alarms.onAlarm.addListener"": 1}",{},{},"{""document.querySelector"": 6, ""new Blob"": 1}","{""fetch"": 8}","{""setTimeout"": 15, ""setInterval"": 4, ""chrome.windows.create"": 2, ""document.getElementById"": 2, ""document.createElement"": 1, ""canvas.getContext"": 1}","{""addEventListener"": 2}",{}
ehekffhhobjogdcdafcfhkfpcpaeagnd_1.2.zip,"[""*://*/*"", ""cookies""]",[],X,{},{},{},"{""chrome.tabs.create"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 30, ""document.cookie"": 6, ""new Blob"": 2}","{""fetch"": 6, ""new XMLHttpRequest"": 5, ""new WebSocket"": 3}","{""setTimeout"": 32, ""document.createElement"": 13, ""element.style"": 11, ""document.getElementById"": 8, ""setInterval"": 3}","{""addEventListener"": 38}",{}
dcfhgekodfnlbfgiaoahkobmkjlpmdgn_1.0.3.zip,"[""tabs"", ""<all_urls>"", ""activeTab"", ""scripting"", ""https://*.misbar.com/*"", ""storage""]",[],X,{},{},"{""chrome.storage.local.set"": 2, ""chrome.storage.local.get"": 2}","{""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.query"": 1}","{""chrome.scripting.executeScript"": 1, ""chrome.scripting.insertCSS"": 1}",{},{},{},{},{},{},{},"{""document.querySelector"": 5}","{""new XMLHttpRequest"": 3}","{""setTimeout"": 5, ""document.createElement"": 3}","{""addEventListener"": 4}",{}
iajafhoaenbbggpaicppbgaadgdgjcgd_1.0.0.zip,"[""identity"", ""storage"", ""<all_urls>"", ""history"", ""favicon"", ""*://*/*"", ""bookmarks"", ""identity.email""]","[""favicon""]",X,"{""navigator.clipboard.readText"": 1, ""navigator.clipboard.writeText"": 1}",{},"{""chrome.storage.sync.get"": 4, ""localStorage.setItem"": 3, ""chrome.storage.local.get"": 2, ""chrome.storage.sync.set"": 2, ""chrome.storage.local.set"": 1}","{""chrome.tabs.create"": 2}",{},"{""chrome.identity.getProfileUserInfo"": 2}",{},"{""chrome.bookmarks.get"": 3, ""chrome.bookmarks.create"": 2, ""chrome.bookmarks.update"": 1, ""chrome.bookmarks.remove"": 1}","{""chrome.history.search"": 1, ""chrome.history.deleteUrl"": 1}",{},{},{},"{""document.querySelector"": 6, ""new Blob"": 4, ""localStorage.getItem"": 2, ""document.cookie"": 2}","{""fetch"": 3, ""new XMLHttpRequest"": 3}","{""setTimeout"": 19, ""document.createElement"": 11, ""chrome.windows.create"": 2, ""new MutationObserver"": 2, ""document.getElementById"": 1}","{""addEventListener"": 16}",{}
ddembjalhjiblnlfifeldhohmigachhh_1.0.zip,"[""clipboardWrite""]","[""clipboardWrite""]",X,{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{""document.createElement"": 1}","{""addEventListener"": 2}",{}
bbpbfkgigdkapgfiipkhknbpampmndfg_1.0.12.zip,"[""https://*.firebaseio.com/*"", ""tabGroups"", ""identity"", ""*://*.google.com/"", ""https://*.googleapis.com/*"", ""unlimitedStorage"", ""storage"", ""tabs"", ""*://*.tabiola.org/"", ""contextMenus"", ""activeTab"", ""sidePanel""]","[""activeTab""]",X,"{""navigator.clipboard.writeText"": 2}",{},"{""indexedDB.open"": 3, ""navigator.storage.persist"": 3, ""chrome.storage.sync.get"": 1, ""localStorage.setItem"": 1}","{""chrome.tabs.query"": 7, ""chrome.tabs.update"": 3, ""chrome.tabs.create"": 2, ""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.onActivated.addListener"": 1}",{},"{""chrome.identity.getAuthToken"": 1}",{},{},{},{},{},"{""chrome.contextMenus.create"": 2, ""chrome.contextMenus.onClicked.addListener"": 2}","{""document.querySelector"": 19, ""new Blob"": 6, ""document.cookie"": 1, ""localStorage.getItem"": 1}","{""fetch"": 70, ""new XMLHttpRequest"": 3, ""navigator.sendBeacon"": 2}","{""setTimeout"": 124, ""document.createElement"": 109, ""setInterval"": 9, ""document.getElementById"": 5, ""new MutationObserver"": 4, ""chrome.windows.create"": 1, ""element.innerHTML"": 1}","{""addEventListener"": 238}",{}
pdgbmlhjjgaenhbmahiafcelnbbbopla_4.0.zip,"[""favicon"", ""offscreen"", ""bookmarks"", ""storage""]","[""favicon""]",X,{},{},"{""chrome.storage.local.get"": 4, ""chrome.storage.local.set"": 1}","{""chrome.tabs.create"": 1}",{},{},{},"{""chrome.bookmarks.get"": 2, ""chrome.bookmarks.search"": 1, ""chrome.bookmarks.remove"": 1}",{},{},{},{},"{""document.querySelector"": 12}","{""fetch"": 13}","{""document.getElementById"": 3, ""setTimeout"": 3, ""document.createElement"": 1}","{""addEventListener"": 10}",{}
bcocdbombenodlegijagbhdjbifpiijp_28.1.3.zip,"[""background"", ""*://*.instagram.com/*"", ""cookies"", ""*://*.inssist.com/*"", ""offscreen"", ""alarms"", ""declarativeNetRequest""]","[""background""]",O,"{""navigator.clipboard.writeText"": 1}","{""chrome.downloads.download"": 3}","{""localStorage.setItem"": 10, ""navigator.storage.persist"": 6, ""indexedDB.open"": 4}","{""chrome.tabs.create"": 19, ""chrome.tabs.get"": 2, ""chrome.tabs.update"": 1}",{},{},{},{},{},"{""chrome.alarms.create"": 5, ""chrome.alarms.onAlarm.addListener"": 5, ""chrome.alarms.clear"": 4, ""chrome.alarms.get"": 1}",{},{},"{""document.querySelector"": 16, ""localStorage.getItem"": 6, ""new Blob"": 4, ""document.cookie"": 3, ""file.name"": 1}","{""fetch"": 276, ""new XMLHttpRequest"": 6}","{""setTimeout"": 202, ""document.createElement"": 75, ""setInterval"": 35, ""new MutationObserver"": 5, ""window.open"": 5, ""document.getElementById"": 3, ""canvas.getContext"": 1}","{""addEventListener"": 215, ""chrome.permissions.request"": 4, ""window.prompt"": 2}",{}
mcebidbgdlfebjbnkkpfbdclngmaando_1.1.2.zip,"[""tabs"", ""contextMenus""]",[],X,{},{},{},"{""chrome.tabs.get"": 4, ""chrome.tabs.remove"": 2}",{},{},{},{},{},{},{},"{""chrome.contextMenus.create"": 1}",{},{},"{""document.getElementById"": 1}",{},{}
mgakchnhkgppicccbfnoimecojceghaj_1.0.zip,"[""*://*.youtube.com/*"", ""tabs""]",[],X,{},{},{},"{""chrome.tabs.update"": 2, ""chrome.tabs.query"": 1, ""chrome.tabs.onUpdated.addListener"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 1}",{},"{""document.createElement"": 1, ""document.getElementById"": 1, ""new MutationObserver"": 1, ""setTimeout"": 1, ""setInterval"": 1}",{},{}
