Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/other/ecbokkggkcdmephjplpimbfbohlbnlcp_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/aalnlajhmgemepmgjfdiplglbnlbandk_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/chcammhbokmockeflldmjbahngicagdb_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/gndopdejcoebchjomamhmiedcgbokbfe_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/fnpmigcnihmfljmjpkmihbeopangmikn_2.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/nhdojffflcjjaomhilokgkbiihkdifkg_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/animals/fbndoaicdaphlmopkmiggfinkbccmpaa_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/alkljonhekldbjkpifphediimmpllodg_1.0.zip,"webRequestBlocking, webRequest"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/dnhikkkobmdlglloepgoeemeiffoeimk_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/hakiadmgnbgfjgjppeebkcjhjbpkclmp_1.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/medknhfnoeebjofagappbmbpcgeffpca_1.zip,nativeMessaging
/home/minhyuk/Desktop/Download_extension/Extensions/nature/ponmlebpaegfpnlhjlfnhlhebibdmkle_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/emgoinndehfmamfphfgpgojbencbjeeh_0.1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mepdgehophbebechmoblpfoeincldbgb_1.1.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hgnfiejekiilbchdomcjkmffnbjlbflc_18.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/dkdokiobifblgnlcebbnmfkllhbdcokl_3.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/bkblllkcggempnmloelcjdelemjmdbff_0.0.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mjnjoiomepfkcdpnppjeekpjhfcdmdoh_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ccnbghgldmbocabfggnabjlgkddfoafd_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/privacy/bikjhofahhbodkgelmfhefkdekjnngjl_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/okclohaghlaedgghhngcenaandmajmmk_0.1.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/bacfkokhehaifjoobhhdjcepalipghdo_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/cphilpoabnoocimadabmhnadcbmfooih_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/ijcnmdedokjppadonlplcefneohoogfo_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/cphdjiacoelggmgfopmgmljdnhmlhici_2024.12.21.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/hegeigfhcleedgnbdaigdfklfdjggdil_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/lnhdkbkfgkbebodaabkbpdaneiekhfin_202.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/boecmgggeigllcdocgioijmleimjbfkg_2.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/mhccpoafgdgbhnjfhkcmgknndkeenfhe_0.83.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/nbjniojimdcaaefifffkjfdoikabdida_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/nature/ajijboenbppkgokigbakbfgfneiolhcb_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kifomoaihgjgmoiiakjgjjdomjdmnnld_1.1.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/aaggdhdhoagfmnobfoimgfbmooobdpcn_0.0.8.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/jkejlkekgmimgmcbdegchepoomkpdehf_0.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/bepilablapiogeghmjiopiaoikgdcgjo_2.1.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/clnapdpdabbpljbejilnelhcmmlmocoi_1.2.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/fgmnldkfcmnbjoiabhhkpjjhpegjbpii_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mphpeckdnnbiflbnmedoddnbbaojjild_1.01.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/nature/fmjlfkpoggghilpnahbkhigongfmmkml_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kcnbggnmphjgeiopcnnnbclcfjdpilgd_0.1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/bpghoblhjdnggihllpdaigddkfdkgmpj_0.0.1.zip,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hlhglndnjndocenckocephdehepiocij_0.0.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/mjhpeeoeindenlghamddpijpmpbnlemo_1.0.18.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/podffgabfpjndnpnaanjaoogmcjeaeoj_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hdnfbkmkkoboipdkckapchfdhinddomp_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/hjdieachknjhapnnplcepbjohmddkllh_10.9.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/cjemhodcfbopjdcbnnlgfmelihnlgbad_0.0.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ahifnkjpimodibbdnmklpkncpgbcfchb_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/acekpedlhaaehkbpockpejljfmcnkldp_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/opmhimfamleimjjngbmjcfellfejbgie_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/mmdlehnmjkegkbmfjngfnpmknpdnkcpg_1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/digkkigjfonpcmeioejbnnmljllcjjje_1.4.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/dgkgongdenackkhmejodiinhlodmecmn_1.0.0.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/ehhiimodikglpldmaoongjehbacpjcnk_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/bnebjfffgnmoeaobccnifnlmppdenako_0.0.1.zip,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/nmjcdbffkenhklfchfaekodeimchagga_1.4.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/ncaoadnamjjfoiipfenmgclcpaclgkbc_1.2.5.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ikjgcdakdhoammedknflhkohfabifaga_2.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/iglmcbhjeagdhipibikdodnpkhhhahlp_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/micmgbkeghgbbdmmoieoodhmofafhhlp_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/iofmeflkedjimkdecbbocjppjiljcokm_4.1016.1805.nguonhangxuong.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/cbandnohjfaekpehffhamgjnijebldeb_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/ofcfaojekmmhjfcgpfopjalihidkopni_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/bipfhmjiiilcconehjpphpfpfkcfkedg_0.9.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/hpckdokkgljhhccaalhjplhjoepibpph_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/djcmkdkjdchgplhaadeffehffgjcbohe_1.2.40.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/other/pikknokkplcokdafpejgbepelancfkdm_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/pbebmkomeifojhfdgalajeebacackide_1.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hjfefailkkdemcabngpbggekdflibnml_1.zip,"clipboardRead, clipboardWrite"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/bpnedgjmphmmdgecmklcopblfcbhpefm_0.10.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/fjfikobolngccfbnkdicanbgacnldadb_0.9.6.zip,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/cpgpnpdaehlfgdpfcdddjbkhfaflpbgn_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/goboogobmejimdndakiighpigelfbkki_0.0.4.zip,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/lkomjnkfhbkjgnoljdnfhfmdoaillgim_1.94.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/cebjkdeabhiafpmbhjlbnpkpclomjgko_2.6.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/mpiplgpecmodkclfbghpfbacbcphbiim_0.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kpdlchjjgnfjjbkeienappendhieodhn_2.4112.1.101.zip,"clipboardRead, clipboardWrite, webRequest"
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/hjaoonnclmoakkaikmejihepolncmkdo_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ipfiijaobcenaibdpaacbbpbjefgekbj_1.1.18.zip,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hhgffaamginikggmhlgipghjkhcepnbk_0.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/cgdnjefnhahimnohbmacbaamjhghkpej_1.1.1.zip,"cookies, downloads"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/hhcfeikmmkngnnaogpodbggmcjcebfba_2.2.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/communication/jgjkbgpghhaeclflhffgnoefjdggepeg_3.0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/colors/ipihfjhkkgbfeebmihibnfndecdnfcje_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/offdcbgibomkmdeeklddjajjpfngbffh_1.9.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/gfmcgpggdacfccgfmimcmckhnbhcijbl_1.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/omjlligogheoohbckidoaiengmiohido_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/nature/pmadjlehcmdchihijciipbpjelmeeajn_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/kmdnhgnkhmhikcdogkbglpefnlbjahad_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/pkeiiddedaccabkipdikoenjheopaikl_0.0.4.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/anbeiondiglbpedgjgehgihgeejjkiik_1.2.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/communication/jicgloohkdidfojpecckocfeoaiajgkp_0.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/entertainment/pdipiefdcgmaicnemejkdhpgdnmdechh_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/communication/ppolgkidohecdlpkjcficaailglejjci_1.0.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/cacimhdphkcihjfpnpmmndgjjnnfoobm_2.4.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/jianejkfaidfclgjgnmdbmcecnijlokh_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/gnebaknencaajhhmedkdldacekpmhhij_0.15.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/mcpogdflbkpechajfghoolagknmhgmig_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/animals/cabdhaagpmojdkgfpconifjklmdmpjak_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hemefbmhgekilginmmgkbpbhppjpjidj_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/blcclfjholbpgmmbnghodhlkagepjbbh_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kilcdklandlfmceoknjebmangfpffgia_1.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ejdcebcefbacfcklmngkpdkhbgmjajkb_34.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ffoblfplapflihljbkbdlbhaknapehhp_0.1.zip,None
