ZIP File,Permissions,File System,Network,Rendering,User Interaction
eefedolmcildfckjamddopaplfiiankl_3.1.6.zip,"[""tabs"", ""storage"", ""tabCapture"", ""webNavigation"", ""clipboardRead"", ""clipboardWrite"", ""contextMenus"", ""unlimitedStorage"", ""offscreen"", ""scripting""]","{""new Blob"": 11, ""localStorage.setItem"": 4, ""localStorage.getItem"": 3, ""file.name"": 1, ""window.requestFileSystem"": 1}","{""fetch"": 34, ""new XMLHttpRequest"": 4}","{""document.getElementById"": 401, ""setTimeout"": 146, ""document.createElement"": 101, ""document.querySelector"": 55, ""setInterval"": 19, ""chrome.tabs.create"": 6, ""new MutationObserver"": 6, ""window.open"": 5, ""canvas.getContext"": 5}","{""addEventListener"": 246, ""chrome.contextMenus.create"": 3, ""chrome.tabs.onActivated.addListener"": 2}"
iaohpoefeikknejigaaifnajlbkdhlhi_1.2.zip,"[""tabs"", ""storage""]","{""new Blob"": 12, ""navigator.clipboard.writeText"": 10, ""sessionStorage.getItem"": 3, ""document.cookie"": 2, ""sessionStorage.setItem"": 2}","{""fetch"": 69, ""new XMLHttpRequest"": 3}","{""setTimeout"": 91, ""document.createElement"": 50, ""document.querySelector"": 15, ""document.getElementById"": 7, ""new MutationObserver"": 3, ""setInterval"": 3, ""element.innerHTML"": 1}","{""addEventListener"": 147}"
onkbamknephmfkcbgegadepncekiadae_1.0.7.zip,"[""tabs"", ""scripting"", ""sidePanel"", ""contextMenus""]",{},"{""fetch"": 1}","{""document.createElement"": 4}","{""chrome.contextMenus.create"": 1, ""chrome.tabs.onActivated.addListener"": 1}"
pmikgocefepnmlneglfncdcnfoldcfgk_1.0.zip,[],{},{},"{""document.getElementById"": 3, ""setTimeout"": 2}","{""addEventListener"": 3}"
gcgcdmjldohjlnalcfphikgdbflpkemc_1.0.zip,"[""activeTab"", ""storage""]","{""new Blob"": 1}",{},"{""document.getElementById"": 17, ""document.createElement"": 5}","{""addEventListener"": 11}"
bfkchnmelmdlnhggdjkodlijpopejooo_3.2.6.zip,"[""tabs"", ""storage"", ""scripting"", ""alarms""]",{},"{""fetch"": 5}","{""document.getElementById"": 24, ""document.querySelector"": 7, ""document.createElement"": 7, ""setTimeout"": 6, ""setInterval"": 2, ""chrome.tabs.create"": 1, ""window.open"": 1}","{""addEventListener"": 9, ""chrome.alarms.create"": 1}"
djafiicbmcbgngccgaadphcakbemkcll_1.2.zip,"[""storage""]",{},{},"{""document.querySelector"": 1, ""setTimeout"": 1, ""document.getElementById"": 1}","{""addEventListener"": 3}"
fdlcfnimjmkjlajpifhnehgeeiipgmfm_1.1.1.zip,"[""tabs"", ""storage"", ""scripting"", ""alarms""]",{},"{""fetch"": 33}","{""document.querySelector"": 20, ""document.getElementById"": 3, ""setTimeout"": 1}","{""addEventListener"": 9, ""chrome.alarms.create"": 1, ""chrome.permissions.request"": 1}"
fgokddikphedcpofapelnlgjbldjmicn_1.0.zip,"[""storage""]","{""navigator.clipboard.writeText"": 1}","{""fetch"": 12}","{""document.getElementById"": 5, ""document.querySelector"": 3, ""setTimeout"": 1, ""setInterval"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 3}"
nkmhhckddjdgecdgkmgbidaapmlbjoed_1.2.0.zip,"[""storage"", ""cookies"", ""tabs""]",{},"{""fetch"": 10, ""new XMLHttpRequest"": 1}","{""document.querySelector"": 36, ""document.createElement"": 33, ""document.getElementById"": 20, ""setTimeout"": 11, ""chrome.tabs.create"": 6, ""new MutationObserver"": 2, ""window.open"": 1, ""setInterval"": 1}","{""addEventListener"": 36}"
